state,district,pincode,bio_age_5_17,bio_age_17_
Andhra Pradesh,Alluri Sitharama Raju,531029,572,685
Andhra Pradesh,Alluri Sitharama Raju,531030,72,34
Andhra Pradesh,Alluri Sitharama Raju,531040,708,1326
Andhra Pradesh,Alluri Sitharama Raju,531077,426,640
Andhra Pradesh,Alluri Sitharama Raju,531084,128,128
Andhra Pradesh,Alluri Sitharama Raju,531087,305,276
Andhra Pradesh,Alluri Sitharama Raju,531105,94,134
Andhra Pradesh,Alluri Sitharama Raju,531110,27,12
Andhra Pradesh,Alluri Sitharama Raju,531111,764,752
Andhra Pradesh,Alluri Sitharama Raju,531115,1,3
Andhra Pradesh,Alluri Sitharama Raju,531116,21,39
Andhra Pradesh,Alluri Sitharama Raju,531118,142,214
Andhra Pradesh,Alluri Sitharama Raju,531133,279,228
Andhra Pradesh,Alluri Sitharama Raju,531149,480,485
Andhra Pradesh,Alluri Sitharama Raju,531151,475,434
Andhra Pradesh,Alluri Sitharama Raju,533284,26,20
Andhra Pradesh,Alluri Sitharama Raju,533285,31,17
Andhra Pradesh,Alluri Sitharama Raju,533286,21,14
Andhra Pradesh,Alluri Sitharama Raju,533288,713,1043
Andhra Pradesh,Alluri Sitharama Raju,533295,261,364
Andhra Pradesh,Alluri Sitharama Raju,533339,147,124
Andhra Pradesh,Alluri Sitharama Raju,533347,117,61
Andhra Pradesh,Alluri Sitharama Raju,533348,68,25
Andhra Pradesh,Alluri Sitharama Raju,533351,1,1
Andhra Pradesh,Alluri Sitharama Raju,533428,256,216
Andhra Pradesh,Alluri Sitharama Raju,533429,14,25
Andhra Pradesh,Alluri Sitharama Raju,533436,205,291
Andhra Pradesh,Alluri Sitharama Raju,533483,278,455
Andhra Pradesh,Alluri Sitharama Raju,534315,9,0
Andhra Pradesh,Alluri Sitharama Raju,535145,264,506
Andhra Pradesh,Alluri Sitharama Raju,535273,10,4
Andhra Pradesh,Anakapalli,517541,7,1
Andhra Pradesh,Anakapalli,517640,1,0
Andhra Pradesh,Anakapalli,530046,6,11
Andhra Pradesh,Anakapalli,531001,275,223
Andhra Pradesh,Anakapalli,531002,27,26
Andhra Pradesh,Anakapalli,531011,118,107
Andhra Pradesh,Anakapalli,531019,45,44
Andhra Pradesh,Anakapalli,531020,18,11
Andhra Pradesh,Anakapalli,531021,67,62
Andhra Pradesh,Anakapalli,531022,8,10
Andhra Pradesh,Anakapalli,531023,9,6
Andhra Pradesh,Anakapalli,531025,121,107
Andhra Pradesh,Anakapalli,531026,61,57
Andhra Pradesh,Anakapalli,531027,174,160
Andhra Pradesh,Anakapalli,531028,59,60
Andhra Pradesh,Anakapalli,531030,69,59
Andhra Pradesh,Anakapalli,531031,135,169
Andhra Pradesh,Anakapalli,531032,157,130
Andhra Pradesh,Anakapalli,531033,24,33
Andhra Pradesh,Anakapalli,531034,28,34
Andhra Pradesh,Anakapalli,531035,180,181
Andhra Pradesh,Anakapalli,531036,128,161
Andhra Pradesh,Anakapalli,531055,228,164
Andhra Pradesh,Anakapalli,531060,10,8
Andhra Pradesh,Anakapalli,531061,96,77
Andhra Pradesh,Anakapalli,531075,8,9
Andhra Pradesh,Anakapalli,531081,239,97
Andhra Pradesh,Anakapalli,531082,8,5
Andhra Pradesh,Anakapalli,531083,47,42
Andhra Pradesh,Anakapalli,531084,66,49
Andhra Pradesh,Anakapalli,531085,104,152
Andhra Pradesh,Anakapalli,531113,141,197
Andhra Pradesh,Anakapalli,531114,104,105
Andhra Pradesh,Anakapalli,531115,73,55
Andhra Pradesh,Anakapalli,531116,328,355
Andhra Pradesh,Anakapalli,531117,42,41
Andhra Pradesh,Anakapalli,531118,1,6
Andhra Pradesh,Anakapalli,531126,283,130
Andhra Pradesh,Anakapalli,531127,38,25
Andhra Pradesh,Anakapalli,535183,9,12
Andhra Pradesh,Anantapur,515001,1815,2717
Andhra Pradesh,Anantapur,515002,228,505
Andhra Pradesh,Anantapur,515003,14,46
Andhra Pradesh,Anantapur,515004,604,984
Andhra Pradesh,Anantapur,515005,1,0
Andhra Pradesh,Anantapur,515101,230,616
Andhra Pradesh,Anantapur,515110,292,652
Andhra Pradesh,Anantapur,515122,391,638
Andhra Pradesh,Anantapur,515123,250,816
Andhra Pradesh,Anantapur,515124,187,357
Andhra Pradesh,Anantapur,515133,201,326
Andhra Pradesh,Anantapur,515134,231,363
Andhra Pradesh,Anantapur,515144,270,465
Andhra Pradesh,Anantapur,515154,185,297
Andhra Pradesh,Anantapur,515159,77,113
Andhra Pradesh,Anantapur,515164,118,224
Andhra Pradesh,Anantapur,515201,1023,1584
Andhra Pradesh,Anantapur,515211,300,356
Andhra Pradesh,Anantapur,515212,175,329
Andhra Pradesh,Anantapur,515231,424,841
Andhra Pradesh,Anantapur,515241,189,371
Andhra Pradesh,Anantapur,515261,118,297
Andhra Pradesh,Anantapur,515271,370,482
Andhra Pradesh,Anantapur,515281,346,446
Andhra Pradesh,Anantapur,515286,261,359
Andhra Pradesh,Anantapur,515291,192,319
Andhra Pradesh,Anantapur,515301,508,726
Andhra Pradesh,Anantapur,515303,237,309
Andhra Pradesh,Anantapur,515305,287,388
Andhra Pradesh,Anantapur,515311,293,740
Andhra Pradesh,Anantapur,515321,226,338
Andhra Pradesh,Anantapur,515331,245,582
Andhra Pradesh,Anantapur,515341,77,158
Andhra Pradesh,Anantapur,515401,724,1257
Andhra Pradesh,Anantapur,515402,270,487
Andhra Pradesh,Anantapur,515405,238,468
Andhra Pradesh,Anantapur,515408,464,512
Andhra Pradesh,Anantapur,515411,881,1354
Andhra Pradesh,Anantapur,515414,281,319
Andhra Pradesh,Anantapur,515415,93,96
Andhra Pradesh,Anantapur,515425,819,947
Andhra Pradesh,Anantapur,515435,203,289
Andhra Pradesh,Anantapur,515445,365,446
Andhra Pradesh,Anantapur,515455,248,314
Andhra Pradesh,Anantapur,515465,367,553
Andhra Pradesh,Anantapur,515501,203,381
Andhra Pradesh,Anantapur,515511,336,702
Andhra Pradesh,Anantapur,515521,498,503
Andhra Pradesh,Anantapur,515531,136,216
Andhra Pradesh,Anantapur,515541,212,363
Andhra Pradesh,Anantapur,515551,239,315
Andhra Pradesh,Anantapur,515556,157,251
Andhra Pradesh,Anantapur,515561,278,378
Andhra Pradesh,Anantapur,515571,366,589
Andhra Pradesh,Anantapur,515581,460,629
Andhra Pradesh,Anantapur,515591,1053,1362
Andhra Pradesh,Anantapur,515601,146,318
Andhra Pradesh,Anantapur,515611,285,396
Andhra Pradesh,Anantapur,515621,215,456
Andhra Pradesh,Anantapur,515631,222,410
Andhra Pradesh,Anantapur,515641,235,429
Andhra Pradesh,Anantapur,515651,145,265
Andhra Pradesh,Anantapur,515661,261,330
Andhra Pradesh,Anantapur,515671,684,1177
Andhra Pradesh,Anantapur,515672,367,670
Andhra Pradesh,Anantapur,515701,653,1100
Andhra Pradesh,Anantapur,515711,400,430
Andhra Pradesh,Anantapur,515721,154,416
Andhra Pradesh,Anantapur,515722,294,517
Andhra Pradesh,Anantapur,515731,444,799
Andhra Pradesh,Anantapur,515741,376,646
Andhra Pradesh,Anantapur,515751,572,846
Andhra Pradesh,Anantapur,515761,708,1221
Andhra Pradesh,Anantapur,515763,307,464
Andhra Pradesh,Anantapur,515765,245,682
Andhra Pradesh,Anantapur,515766,609,952
Andhra Pradesh,Anantapur,515767,463,579
Andhra Pradesh,Anantapur,515774,217,272
Andhra Pradesh,Anantapur,515775,695,1433
Andhra Pradesh,Anantapur,515787,303,337
Andhra Pradesh,Anantapur,515801,1045,1910
Andhra Pradesh,Anantapur,515803,195,416
Andhra Pradesh,Anantapur,515812,894,1444
Andhra Pradesh,Anantapur,515822,259,430
Andhra Pradesh,Anantapur,515832,404,776
Andhra Pradesh,Anantapur,515842,343,753
Andhra Pradesh,Anantapur,515863,363,625
Andhra Pradesh,Anantapur,515865,1826,2373
Andhra Pradesh,Anantapur,515867,294,518
Andhra Pradesh,Anantapur,515870,444,746
Andhra Pradesh,Anantapur,515871,1378,1840
Andhra Pradesh,Anantapur,515872,133,280
Andhra Pradesh,Ananthapur,515001,3318,1270
Andhra Pradesh,Ananthapur,515002,323,108
Andhra Pradesh,Ananthapur,515003,28,12
Andhra Pradesh,Ananthapur,515004,1229,415
Andhra Pradesh,Ananthapur,515005,44,17
Andhra Pradesh,Ananthapur,515101,444,233
Andhra Pradesh,Ananthapur,515110,638,146
Andhra Pradesh,Ananthapur,515122,422,103
Andhra Pradesh,Ananthapur,515123,272,136
Andhra Pradesh,Ananthapur,515124,177,66
Andhra Pradesh,Ananthapur,515133,154,36
Andhra Pradesh,Ananthapur,515134,445,110
Andhra Pradesh,Ananthapur,515144,291,98
Andhra Pradesh,Ananthapur,515154,198,46
Andhra Pradesh,Ananthapur,515159,250,76
Andhra Pradesh,Ananthapur,515164,153,52
Andhra Pradesh,Ananthapur,515201,3415,832
Andhra Pradesh,Ananthapur,515211,824,183
Andhra Pradesh,Ananthapur,515212,312,85
Andhra Pradesh,Ananthapur,515231,1038,389
Andhra Pradesh,Ananthapur,515241,263,59
Andhra Pradesh,Ananthapur,515261,362,98
Andhra Pradesh,Ananthapur,515271,591,200
Andhra Pradesh,Ananthapur,515281,446,91
Andhra Pradesh,Ananthapur,515286,441,137
Andhra Pradesh,Ananthapur,515291,92,20
Andhra Pradesh,Ananthapur,515301,843,313
Andhra Pradesh,Ananthapur,515303,164,38
Andhra Pradesh,Ananthapur,515305,494,144
Andhra Pradesh,Ananthapur,515311,325,104
Andhra Pradesh,Ananthapur,515321,108,37
Andhra Pradesh,Ananthapur,515331,414,154
Andhra Pradesh,Ananthapur,515341,30,28
Andhra Pradesh,Ananthapur,515401,1702,409
Andhra Pradesh,Ananthapur,515402,568,138
Andhra Pradesh,Ananthapur,515405,650,131
Andhra Pradesh,Ananthapur,515408,808,195
Andhra Pradesh,Ananthapur,515411,2088,478
Andhra Pradesh,Ananthapur,515414,266,59
Andhra Pradesh,Ananthapur,515415,322,112
Andhra Pradesh,Ananthapur,515425,1244,226
Andhra Pradesh,Ananthapur,515435,112,39
Andhra Pradesh,Ananthapur,515445,440,127
Andhra Pradesh,Ananthapur,515455,659,139
Andhra Pradesh,Ananthapur,515465,514,149
Andhra Pradesh,Ananthapur,515501,429,156
Andhra Pradesh,Ananthapur,515511,480,183
Andhra Pradesh,Ananthapur,515521,510,141
Andhra Pradesh,Ananthapur,515531,256,113
Andhra Pradesh,Ananthapur,515541,460,135
Andhra Pradesh,Ananthapur,515551,123,44
Andhra Pradesh,Ananthapur,515556,154,43
Andhra Pradesh,Ananthapur,515561,513,188
Andhra Pradesh,Ananthapur,515571,440,200
Andhra Pradesh,Ananthapur,515581,396,99
Andhra Pradesh,Ananthapur,515591,1772,484
Andhra Pradesh,Ananthapur,515601,137,44
Andhra Pradesh,Ananthapur,515611,167,41
Andhra Pradesh,Ananthapur,515621,638,328
Andhra Pradesh,Ananthapur,515631,481,273
Andhra Pradesh,Ananthapur,515641,1092,415
Andhra Pradesh,Ananthapur,515651,339,174
Andhra Pradesh,Ananthapur,515661,501,191
Andhra Pradesh,Ananthapur,515671,2457,886
Andhra Pradesh,Ananthapur,515672,1284,732
Andhra Pradesh,Ananthapur,515701,978,249
Andhra Pradesh,Ananthapur,515711,629,183
Andhra Pradesh,Ananthapur,515721,251,90
Andhra Pradesh,Ananthapur,515722,343,87
Andhra Pradesh,Ananthapur,515731,568,165
Andhra Pradesh,Ananthapur,515741,628,143
Andhra Pradesh,Ananthapur,515751,934,171
Andhra Pradesh,Ananthapur,515761,1403,563
Andhra Pradesh,Ananthapur,515763,281,94
Andhra Pradesh,Ananthapur,515765,811,442
Andhra Pradesh,Ananthapur,515766,819,206
Andhra Pradesh,Ananthapur,515767,758,173
Andhra Pradesh,Ananthapur,515774,111,49
Andhra Pradesh,Ananthapur,515775,833,288
Andhra Pradesh,Ananthapur,515787,560,176
Andhra Pradesh,Ananthapur,515801,2304,689
Andhra Pradesh,Ananthapur,515803,373,125
Andhra Pradesh,Ananthapur,515812,1264,318
Andhra Pradesh,Ananthapur,515822,253,94
Andhra Pradesh,Ananthapur,515832,357,180
Andhra Pradesh,Ananthapur,515842,770,278
Andhra Pradesh,Ananthapur,515863,442,165
Andhra Pradesh,Ananthapur,515865,3458,982
Andhra Pradesh,Ananthapur,515867,914,221
Andhra Pradesh,Ananthapur,515870,878,209
Andhra Pradesh,Ananthapur,515871,2341,697
Andhra Pradesh,Ananthapur,515872,271,105
Andhra Pradesh,Ananthapuramu,515001,4648,1615
Andhra Pradesh,Ananthapuramu,515002,656,247
Andhra Pradesh,Ananthapuramu,515003,114,37
Andhra Pradesh,Ananthapuramu,515004,2054,828
Andhra Pradesh,Ananthapuramu,515005,139,23
Andhra Pradesh,Ananthapuramu,515101,516,117
Andhra Pradesh,Ananthapuramu,515110,1055,164
Andhra Pradesh,Ananthapuramu,515122,799,76
Andhra Pradesh,Ananthapuramu,515123,446,110
Andhra Pradesh,Ananthapuramu,515124,202,33
Andhra Pradesh,Ananthapuramu,515133,375,45
Andhra Pradesh,Ananthapuramu,515134,659,149
Andhra Pradesh,Ananthapuramu,515144,649,85
Andhra Pradesh,Ananthapuramu,515154,359,70
Andhra Pradesh,Ananthapuramu,515159,312,62
Andhra Pradesh,Ananthapuramu,515164,147,35
Andhra Pradesh,Ananthapuramu,515201,2393,315
Andhra Pradesh,Ananthapuramu,515202,6,0
Andhra Pradesh,Ananthapuramu,515211,237,48
Andhra Pradesh,Ananthapuramu,515212,269,44
Andhra Pradesh,Ananthapuramu,515231,1780,266
Andhra Pradesh,Ananthapuramu,515241,396,69
Andhra Pradesh,Ananthapuramu,515261,404,62
Andhra Pradesh,Ananthapuramu,515271,282,48
Andhra Pradesh,Ananthapuramu,515281,591,70
Andhra Pradesh,Ananthapuramu,515286,245,45
Andhra Pradesh,Ananthapuramu,515291,98,19
Andhra Pradesh,Ananthapuramu,515301,767,130
Andhra Pradesh,Ananthapuramu,515303,163,29
Andhra Pradesh,Ananthapuramu,515305,167,25
Andhra Pradesh,Ananthapuramu,515311,561,127
Andhra Pradesh,Ananthapuramu,515321,362,44
Andhra Pradesh,Ananthapuramu,515331,968,152
Andhra Pradesh,Ananthapuramu,515341,149,38
Andhra Pradesh,Ananthapuramu,515401,2532,525
Andhra Pradesh,Ananthapuramu,515402,950,197
Andhra Pradesh,Ananthapuramu,515405,754,103
Andhra Pradesh,Ananthapuramu,515408,1316,234
Andhra Pradesh,Ananthapuramu,515411,3077,708
Andhra Pradesh,Ananthapuramu,515413,2,1
Andhra Pradesh,Ananthapuramu,515414,374,94
Andhra Pradesh,Ananthapuramu,515415,406,58
Andhra Pradesh,Ananthapuramu,515425,1629,246
Andhra Pradesh,Ananthapuramu,515435,231,55
Andhra Pradesh,Ananthapuramu,515445,497,109
Andhra Pradesh,Ananthapuramu,515455,952,136
Andhra Pradesh,Ananthapuramu,515465,819,137
Andhra Pradesh,Ananthapuramu,515501,934,116
Andhra Pradesh,Ananthapuramu,515511,964,197
Andhra Pradesh,Ananthapuramu,515521,897,108
Andhra Pradesh,Ananthapuramu,515531,398,58
Andhra Pradesh,Ananthapuramu,515541,584,94
Andhra Pradesh,Ananthapuramu,515551,250,49
Andhra Pradesh,Ananthapuramu,515556,220,43
Andhra Pradesh,Ananthapuramu,515561,774,124
Andhra Pradesh,Ananthapuramu,515571,1230,172
Andhra Pradesh,Ananthapuramu,515581,1109,219
Andhra Pradesh,Ananthapuramu,515591,2561,376
Andhra Pradesh,Ananthapuramu,515601,194,56
Andhra Pradesh,Ananthapuramu,515611,502,106
Andhra Pradesh,Ananthapuramu,515621,790,157
Andhra Pradesh,Ananthapuramu,515631,265,53
Andhra Pradesh,Ananthapuramu,515641,825,148
Andhra Pradesh,Ananthapuramu,515651,173,22
Andhra Pradesh,Ananthapuramu,515661,462,68
Andhra Pradesh,Ananthapuramu,515671,2505,392
Andhra Pradesh,Ananthapuramu,515672,1372,171
Andhra Pradesh,Ananthapuramu,515701,1875,408
Andhra Pradesh,Ananthapuramu,515711,1235,166
Andhra Pradesh,Ananthapuramu,515721,279,100
Andhra Pradesh,Ananthapuramu,515722,514,124
Andhra Pradesh,Ananthapuramu,515731,1232,262
Andhra Pradesh,Ananthapuramu,515741,1083,245
Andhra Pradesh,Ananthapuramu,515751,1396,269
Andhra Pradesh,Ananthapuramu,515761,2479,579
Andhra Pradesh,Ananthapuramu,515763,783,165
Andhra Pradesh,Ananthapuramu,515765,1530,308
Andhra Pradesh,Ananthapuramu,515766,1368,303
Andhra Pradesh,Ananthapuramu,515767,1153,174
Andhra Pradesh,Ananthapuramu,515774,495,187
Andhra Pradesh,Ananthapuramu,515775,1863,483
Andhra Pradesh,Ananthapuramu,515787,689,127
Andhra Pradesh,Ananthapuramu,515801,3266,1099
Andhra Pradesh,Ananthapuramu,515803,620,198
Andhra Pradesh,Ananthapuramu,515812,2283,494
Andhra Pradesh,Ananthapuramu,515822,770,205
Andhra Pradesh,Ananthapuramu,515832,1160,228
Andhra Pradesh,Ananthapuramu,515842,1008,219
Andhra Pradesh,Ananthapuramu,515863,920,157
Andhra Pradesh,Ananthapuramu,515865,3613,782
Andhra Pradesh,Ananthapuramu,515867,749,165
Andhra Pradesh,Ananthapuramu,515870,1160,223
Andhra Pradesh,Ananthapuramu,515871,2883,750
Andhra Pradesh,Ananthapuramu,515872,611,90
Andhra Pradesh,Annamayya,516101,400,274
Andhra Pradesh,Annamayya,516104,22,9
Andhra Pradesh,Annamayya,516105,55,27
Andhra Pradesh,Annamayya,516107,220,96
Andhra Pradesh,Annamayya,516108,118,62
Andhra Pradesh,Annamayya,516110,31,12
Andhra Pradesh,Annamayya,516115,214,114
Andhra Pradesh,Annamayya,516126,219,80
Andhra Pradesh,Annamayya,516127,19,19
Andhra Pradesh,Annamayya,516128,67,44
Andhra Pradesh,Annamayya,516129,46,30
Andhra Pradesh,Annamayya,516130,121,83
Andhra Pradesh,Annamayya,516150,66,36
Andhra Pradesh,Annamayya,516151,39,13
Andhra Pradesh,Annamayya,516214,95,65
Andhra Pradesh,Annamayya,516215,61,35
Andhra Pradesh,Annamayya,516257,84,59
Andhra Pradesh,Annamayya,516267,147,102
Andhra Pradesh,Annamayya,516268,43,32
Andhra Pradesh,Annamayya,516269,606,379
Andhra Pradesh,Annamayya,516270,14,12
Andhra Pradesh,Annamayya,516504,150,97
Andhra Pradesh,Annamayya,517213,27,19
Andhra Pradesh,Annamayya,517214,297,263
Andhra Pradesh,Annamayya,517234,77,83
Andhra Pradesh,Annamayya,517235,21,16
Andhra Pradesh,Annamayya,517236,24,13
Andhra Pradesh,Annamayya,517237,9,9
Andhra Pradesh,Annamayya,517247,6,2
Andhra Pradesh,Annamayya,517277,20,8
Andhra Pradesh,Annamayya,517280,69,44
Andhra Pradesh,Annamayya,517291,21,14
Andhra Pradesh,Annamayya,517297,204,121
Andhra Pradesh,Annamayya,517299,49,49
Andhra Pradesh,Annamayya,517305,34,16
Andhra Pradesh,Annamayya,517319,70,57
Andhra Pradesh,Annamayya,517325,1358,983
Andhra Pradesh,Annamayya,517326,5,4
Andhra Pradesh,Annamayya,517350,26,24
Andhra Pradesh,Annamayya,517351,40,32
Andhra Pradesh,Annamayya,517352,0,1
Andhra Pradesh,Annamayya,517370,187,194
Andhra Pradesh,Annamayya,517390,86,74
Andhra Pradesh,Annamayya,517391,90,67
Andhra Pradesh,Annamayya,517417,157,96
Andhra Pradesh,Annamayya,517418,76,53
Andhra Pradesh,Bapatla,522101,341,209
Andhra Pradesh,Bapatla,522102,2,0
Andhra Pradesh,Bapatla,522111,120,62
Andhra Pradesh,Bapatla,522113,13,8
Andhra Pradesh,Bapatla,522211,20,5
Andhra Pradesh,Bapatla,522212,5,0
Andhra Pradesh,Bapatla,522256,50,32
Andhra Pradesh,Bapatla,522257,16,10
Andhra Pradesh,Bapatla,522258,18,12
Andhra Pradesh,Bapatla,522259,67,39
Andhra Pradesh,Bapatla,522261,85,49
Andhra Pradesh,Bapatla,522262,112,75
Andhra Pradesh,Bapatla,522264,29,23
Andhra Pradesh,Bapatla,522265,289,191
Andhra Pradesh,Bapatla,522268,112,76
Andhra Pradesh,Bapatla,522301,14,2
Andhra Pradesh,Bapatla,522309,63,15
Andhra Pradesh,Bapatla,522310,14,5
Andhra Pradesh,Bapatla,522311,44,23
Andhra Pradesh,Bapatla,522312,9,2
Andhra Pradesh,Bapatla,522313,24,5
Andhra Pradesh,Bapatla,522314,122,75
Andhra Pradesh,Bapatla,522315,1,1
Andhra Pradesh,Bapatla,522317,22,3
Andhra Pradesh,Bapatla,522318,26,11
Andhra Pradesh,Bapatla,522324,123,33
Andhra Pradesh,Bapatla,522325,19,20
Andhra Pradesh,Bapatla,522329,58,18
Andhra Pradesh,Bapatla,522341,12,0
Andhra Pradesh,Bapatla,523135,31,12
Andhra Pradesh,Bapatla,523155,165,70
Andhra Pradesh,Bapatla,523157,306,224
Andhra Pradesh,Bapatla,523165,21,15
Andhra Pradesh,Bapatla,523166,102,42
Andhra Pradesh,Bapatla,523167,130,80
Andhra Pradesh,Bapatla,523168,34,26
Andhra Pradesh,Bapatla,523169,132,88
Andhra Pradesh,Bapatla,523170,29,7
Andhra Pradesh,Bapatla,523171,7,6
Andhra Pradesh,Bapatla,523181,7,7
Andhra Pradesh,Bapatla,523183,1,0
Andhra Pradesh,Bapatla,523184,12,4
Andhra Pradesh,Bapatla,523185,17,2
Andhra Pradesh,Bapatla,523186,15,10
Andhra Pradesh,Bapatla,523187,128,74
Andhra Pradesh,Bapatla,523190,83,47
Andhra Pradesh,Bapatla,523201,299,119
Andhra Pradesh,Bapatla,523212,78,28
Andhra Pradesh,Bapatla,523213,24,15
Andhra Pradesh,Bapatla,523214,3,1
Andhra Pradesh,Bapatla,523260,52,15
Andhra Pradesh,Bapatla,523261,44,9
Andhra Pradesh,Bapatla,523263,3,0
Andhra Pradesh,Bapatla,523264,4,2
Andhra Pradesh,Bapatla,523301,175,99
Andhra Pradesh,Bapatla,523302,106,47
Andhra Pradesh,Bapatla,523303,61,30
Andhra Pradesh,Chittoor,517001,3579,2114
Andhra Pradesh,Chittoor,517002,1690,1034
Andhra Pradesh,Chittoor,517004,1650,886
Andhra Pradesh,Chittoor,517101,644,295
Andhra Pradesh,Chittoor,517102,980,462
Andhra Pradesh,Chittoor,517112,1640,837
Andhra Pradesh,Chittoor,517113,850,375
Andhra Pradesh,Chittoor,517123,1101,539
Andhra Pradesh,Chittoor,517124,1621,593
Andhra Pradesh,Chittoor,517125,1338,692
Andhra Pradesh,Chittoor,517126,1707,682
Andhra Pradesh,Chittoor,517127,1421,642
Andhra Pradesh,Chittoor,517128,868,555
Andhra Pradesh,Chittoor,517129,1287,767
Andhra Pradesh,Chittoor,517130,1417,611
Andhra Pradesh,Chittoor,517131,1519,891
Andhra Pradesh,Chittoor,517132,1842,877
Andhra Pradesh,Chittoor,517152,700,411
Andhra Pradesh,Chittoor,517167,2355,822
Andhra Pradesh,Chittoor,517172,867,424
Andhra Pradesh,Chittoor,517192,1025,590
